room_number,reviewer,review_content,review_rating,review_date
50009,4414889,"청결은 워낙 제가 깔끔한 편이라 별 하나 뺐지만 보시면 정말 깨끗하고 , 펜션 사장님도 넘~~친절 하시고 다시 재방문 200%입니다~ 수영장도 넘 깨끗하게 관리 하시는것 같아요~ 두명이서 갔는데도 혹여 이불 두꺼울까봐 얇은 이불도 챙겨 주시고 , 펜션 방안에 담배 냄새도 안나고 미리 에어컨 켜두시고 냉장고도 미리 연결 해주시고 이런 펜션은 꼭 대박 나야 하지 않을까요? 보금자리 펜션 사장님 복 많이 받은 실 겁니다~~ 감사히 잘 놀다 갔습니다~~^^",10.0,2년 전
50101,7857576,해변이랑 가까워서 좋아요,9.7,2년 전
50102,암묵적인풍산개,사장님이 너무친절해서 좋았어요!!! 바다도 진짜가깝고 근처 편의점도 있어서 좋아용 다음에 삼척가면 또 여기로 예약할거에요ㅠ,10.0,2개월 전
50102,태연한제독,새해 이후 두번째 방문이구용 올때마다 느끼지만 남.여 사장님 두분 다 너무 친절하세요 !!! 객실상태도 깨끗하구용 !!! 바다랑 가깝고 즐겁게 잘 있다 가네용 ~~~>_<,9.3,3개월 전
50102,나트랑박,시설은 깨끗하니 좋았어요 사장님도 친절하시고 잘쉬었다 갑니다,10.0,4개월 전
50102,일루일루,"1.시설ㅡ방과 주방이 분리되어 있어서 요리해먹기 좋았습니다. 베란다도 따로 있어서 빨래해서 널기 편하고 물놀이 후 튜브나 낚시용품 놓기 좋았어요. 냉장고도 크고, 티비, 에어컨 다 좋았습니다. 다만 침대 매트리스가 스프링이 다 느껴질정도... 2.청결ㅡ대체로 깨끗합니다. 코로나때문에 청결이 제일 중요했는데, 깨끗했습니다. 3.서비스ㅡ사장님 친절하세요. 필요한거 있음 얘기하라고 하셨고, 웃는게 힘든게 아닌데 가끔 그게 힘든 분들이 있으신데, 요기 사장님은 뵐때마다 웃으면서 인사해주셔서 좋았습니다.",10.0,5개월 전
50102,싱숭생숭한김치찌개,"실내가 전반적으로 깔끔하여 좋았습니다. 해수욕장까지는 걸어서 5분 정도로 매우 가깝고, 스노쿨링 장까지는 걸어서 15분정도 거리여서 스노쿨링 후 샤워장 따로 이용안하고 숙소에서 씻을 수 있어 좋았습니다. 저녁에 구워 먹을 고기 양이 얼마 안되어서 숯 피우기도 애매하여 고민되었는데, 사장님께서 선뜻 고기 구울 수 있게 버너도 꺼내주시고 자리도 내어주셔서 기분 좋은 만찬을 즐길 수 있었습니다. 감사합니다:) 내년에 또 갈거에요",9.4,5개월 전
50103,해소리설탕,가격대비 시설은 나쁘지 않았지만 사진과 정말 많이 달럈고 주인 아줌마는 계속 겁을 주고 보증금 받아서 문제 생기면 안돌려준다고 한것도 모자라 다음날 퇴실 전에 하나하나 체크해볼거라고 또 겁을 주시더라구요. 게다가 아침 11시 30 되기도 전부터 바로 노크하고 나갈 준비한다는데도 계속 재촉하더니 갈때도 확인해보고 문제 있으면 전화한다고ㅈ또 불편하고ㅈ부담스럽게 겁을 주더라구요. 뷰도 너무 안좋고 새변에 도착해셔 강아지랑 잠만 자고 나왔는데 무슨 돈쓰고 죄인 같았고 위치도 너무 찾기 힘들게 안좋고 안에 내부 시설도 다 낡고 싸구려에 조잡하고 대충해놓은 곳이었어요. 펜션하는 상전이었어요. 정말 비추합니다. 거기 다녀온 것만으로도 정말 여행 다 망친 기분이어ㅃ어요. 아줌마 친절은 커녕 인상도 너무 안좋고 뭐 감시하러 다니는 사람 같고 찜찜해 혼났어요. 다시는 근처도 가고 싶지않을 정도로 불쾌한 곳이에요. 사진에 속아서 가지 마시길 권합니다.,10.0,3개월 전
50103,젬쑤박,가성비 짱이고요 ~~ 너무좋았어요^~^,10.0,9개월 전
50103,시큰한개,조용하고 나름깔끔한거같아요 잘쉬다갑니다,6.0,11개월 전
50103,빅돼지,예약하고바로 입실 했는데 바로 따뜻하게 신경써주시고 감사합니다 앞풍경도 좋아요,7.3,12개월 전
50103,니꺼하고싶은데,펜션 사진만보고 저렴하고 너무 좋아보여서 2박3일로 예비신부하고 놀러갔는데...창가에는 죽은 벌레들이 가득하고 이불이나 베개 또한 무슨 얼룩인가...잔득 있고 냄세도 엄청나고 짜증나서 나갈까했지만 환불이 안되서 어쩔수 없이 이용하긴 했지만 예비신부가 엄청 깔끔한 편이라서 놀러가서 눈치만 엄청보다가 왔어요. 두번 다시는 가평으로 놀러가지말자고 할정도였으니...말 다한거져...,7.6,1년 전
50104,잠만보원숭이,방도 따뜻하고 너무 깨끗하고 좋앗지만 더 좋앗던건 바로 방에서 바다를 볼수잇는 뷰였는데~~진짜 밤이라서 몰랏지만 아침에 일어나서 보니 너무 좋았습니다!!! 그리고 사장님도 너무 친절하시고 바베큐먹을때도 분위가 좋아서 그런지 더 맛잇더라구요~~~^^ 숙소도 너무 이쁘지만 조경이 제일 이쁜거같아요!!^^ 담에도 다시한번 그쪽으로가면 이용해야겟어요~~^^,2.0,1개월 전
50104,찌쭈아빠,깨끗하고 조용하고 좋았어요,10.0,1개월 전
50104,혜따당,친절히고 좋아오오 ㄹㄹㄹ,8.0,2개월 전
50104,석빙고고속버스,아침에 노크도 안하고 청소한다고 문 벌컥 여는건 좀 아닌거 같아요~ 그리고 공용바베큐장 청결에 신경좀 써줬으면 좋겠습니다~ 시설과 뷰는 전반적으로 만족해요!,10.0,3개월 전
50104,바닐라o,뷰 시설 다좋아요. 정말 신경 많이쓰고 관리하시는거 같아요 정원 관리가 힘든거 알거든요 그런데 너무 다 이뻤는데 안에 들어가자마 콤팡이냄새가 방에는 더욱더 심했고요 이부분은 해결 하셔야 할거같아요 이것빼고는 다 좋았어요,8.5,5개월 전
50105,피동적인브뤼셀그리펀,"3시에 입실이기에 입실 시간에 맞추어서 방문을 했습니다. 주변 관광지를 가려고 했지만, 워낙 날씨가 춥고 바람이 많이 불어서 텐트안에 있기로 했습니다. 짐을 어느 정도 풀어놓고 근처 산책을 했어요~~^^ 테이블, 캠핑 의자, 반대쪽에는 주방 조리대가 배치가 되어 있습니다. 휴대용 가스렌즈가 있습니다. 휴대용 가스는 구비가 되어 있지 않다고 하여 준비해서 갔습니다",10.0,1개월 전
50105,대비적인쥐노래미,추운날씨에 가서 그런지 많이 추웠네요,10.0,1개월 전
50105,뽀로로친구친구,"아침,저녁으로 옆에서 떠들어서 잠을 제대로 못잤네요..방음이 너무 안되서 다시는 안갈것같아요,, 시설은 깨끗합니다. 화장실 샤워기는 수압이 너무약해요 챙겨갈것도 많고, 냉장고도 작고..불편하고 피곤한 글램핑이였습니다.",10.0,4개월 전
50105,간접적인북극곰,에어컨도 잘되고 최고였어용,6.3,6개월 전
50105,양자리여인,깨끗하고 날씨가 서늘해서 벌레는 없었어요. 더운날엔 벌레.모기 있을테니 기피제 챙기는거로 추천 바이킹 하루 한번은 .. 아이들 기다리고 있었는데 못타고 와서 아쉬웠네요. 방에 바닥에 까는 요는 쪼오꼼 더 도톰하면 좋겠어요 ㅠ,8.6,8개월 전
50106,획기적인군단,가족과함께 같는데 너무좋았어요 카라반열자마자 나무냄새가 확나고 사장님으친절! 너무좋고 방도따숩고 굿굿,10.0,6일 전
50106,fedex,스키장에 와서 편안하게 숙박할수 있는 곳 입니다...그리고 나름 낭만도 있고 밤에 너무 조용했어 좋아요... 콘도의 부대시설을 다 이용할수 있어 좋습니다... 조금만 걸어가면 GS25가 있어 늦어도 쉽게 음식 구매가 가능합니다...카나반안에 히터기가 있어 춥지는 않아요...애들이 더워해요... 청소상태는 정말 깨끗해요...지붕에 파란 조명이 이뻐요...잠 잘때 켜놓고 자기에는 좋아요... 담에 또 이용 할 것에요...,6.0,25일 전
50106,fedex,"우선 가족과 함께 캠프하러 온다는 느낌으로 오시면 좋아요. 특히, 숯불에 구워 먹을수 있는 음식을 준비해 오시면 훨씬 재미가 더 해집니다. 또 한가지 팁은 겨울철에 오시면 체크인 하자말자(낮에) 바로 숯불을 준비 해 달라고 하셨어 음식을 해 드시고 저녁때까지 드실 수 있습니다. 중간에 숯불이 모자라면 친절한 남자 사장님께서 숯불을 좀 더 가져다 주셨습니다. 아 그리고 새벽에는 추워서 히터를 꼭 켜고 주문시길 바랍니다...저번에 왔을때 더워서 히터를 안 켜고 잤는데 새벽에 추워 죽는 줄 알았어요. 어제 저녁에 켜고 잤는데 괜찮아요..그리고 샤워 하기는 불편하지는 않았어요.키가 큰 분은 불편할수도 있어요. 스키장까지 거리는 50~100m정도 되는것 같습니다..스키/보드타고 왔다갔다하는데는 불편함이 없습니다...야식은 오크밸리 리조트 안에 GS25, 피자, 닭, 보쌈등 팔아서 유용하게 이용할수 있네요...그리고 다음에도 재 방문 할것같아요...만족도는 짱입니다...리조트보다 운치가 있네요!!!",5.0,1개월 전
50106,fedex,정말 깨끗하고 분위기 좋았어요. 그리고 카라반이 정말 따뜻했어요.,10.0,2개월 전
50106,닉네임은엑스,좋았습니다! .....,9.2,3개월 전
50108,거문도개구리,좋았습니다 신년회 조촐하게 햇는데 뷰 보이는 방이여서 더 좋었습니다 배달음식은 직접 방까지 배달 받을수는 없지만 로비에서 받을수있습니다 전자레인지 없으니까 혹시나 간편식품 드셔야되는 분들은 참고 해주세요,10.0,29일 전
50108,치치치야,다른 사람들 리뷰대로 호텔이 위치가 정말 좋아요 주변에 조개구이집 롯데백화점 다이소 시장 횟집 술집 뭐 다 있습니다 다 걸어서 가기에 가까운거리라 호텔 주차장에 주차해놓고 도보로 움직이시면 돼요 호텔 직원분들도 다 친절하시고 와인오프너랑 와인잔도 대여가능하더라구요 뷰도 오션뷰라 좋고 객실안도 넓은 편이고 깨끗하게 관리가 잘 되어 있었어요 가격도 저렴한 편이라 가성비최고입니다,10.0,1개월 전
50108,악랄한니콜라스,여기는 그냥그냥 너~~~~무 좋아요 뷰며 시설이며 모든것이 굿 두번오세요 아니 매일 오세요🧡,10.0,2개월 전
50108,여기좋타가즈아,바다뷰 전망이 참 인상적으로 멋졌어요. 시설이나 직원 친절도 참 맘에 들었어요.,10.0,13일 전
50108,우꾸우,욕조가 있어 휴식에 많은 도움이 되었고 객실 상태도 깨끗해서 더시 오고 싶네요,9.2,1개월 전
50109,몽실몽실한채소,자주 가던 호텔인데 이번에 오랜만에 갔어요 ㅎㅎㅎ 21층에서 연박했는데 고층은 처음이라 그런지 마음에 들었어요~~ 코로나때문에 호텔 이용 자주하는데 안전하게 2박 잘 있다가 왔습니다!! 다음에도 스타즈호텔 또 이용 계획이에요! 위치도 좋아서 배달음식 시켜먹기도 편리하고 좋아용 ㅎㅎㅎ 사진은 스타즈호텔에서 시켜먹은 치킨입니다 ㅋㅋㅋ 사진이 너무 빨갛게 나왔지만 맛있었어요~!!,10.0,14일 전
50109,chan17,깨끗한 객실이 보기 좋았습니다 건물또한 신축으로 아주깔끔했으며 직원분들도 친절하셔서 기분이 좋았습니다 침구류 또한 편안하고 아늑한 기분이 들었습니다 부족한게 없는 호텔이었습니다,10.0,14일 전
50109,나직나직한도토리,시티뷰는 생각보다 예쁘진 않았어요 근처에 뭐가 없어서 그런가봐요ㅎㅎㅎ 객실 청결하고 다 좋았습니다 다만 방이 조금 추웠던 거 같아요 그리고 어메니티 중에 샴푸 바디워시 바디로션뿐이여서 컨디셔너(린스)도 같이 있으면 더 좋았을 것 같습니다 그리고 체크인 하기전에 미리 전화로 친절하게 양해구하시더라구요 온수배관공사?로 인해서 아침부터 저녁8시까지 찬 물이 나오는데 원하시면 무료로 환불해주시겠다고... 너무 정중하고 친절하셔서 괜찮다고 하고 숙박했는데 크게 불편함도 없었어요 조용하고 좋았습니다 공항이랑도 가까워요!,10.0,24일 전
50109,연보라랄라라,처음가봤는데 프론트직원분이 친절해서 기분좋았습니다 층수도 22층까지 있어서 높은객실을 받으면 시티뷰가 꽤 괜찮습니다 엘리베이터 및 복도도 깨끗하였고 객실 실내도 깨끗했습니다. 전등이 분위기있어서 자기전에 켜두고 있기도 좋고 여러방면에서 만족스러웠습니다 다만 주차공간이 지하1층에 대략 6대정도 지하2층에 타워주차공간이있는데 suv는 소형이어도 타워에 못올린다고 걸어서 6분거리 공영주차장을 이용해야해서 그 부분이 아쉬웠습니다.,10.0,1개월 전
50109,오맹2,태화강이 보이는 스타즈 호텔 좋아요. 좋은 모텔에 비해 방은 좀 좁긴 한데 그냥 혼자자기 적당합니다. 일출뷰라 침대에서 누워서 볼 수 있을줄 알았는데 창의 위치가 좀 아쉽네요. 가성비 좋은 비즈니스 호텔이라고 생각합니다. 침구도 편안해요. 화장실도 깔끔하고.... 조식 신청했는데 코로나라 뷔페가 아닌점이 너무 아쉽네요. 코로나가 빨리 끝났으면 좋겠어요. 잘쉬고,9.6,1개월 전
50111,칼스타일,여러명이어서 독채를 사용했는데 나름대로 불편한거없이 잘 쉬었습니다.3박4일 쉬는거라서 숯과장작을 미리 준비해서 갔어요.주인분이 처음 그릴 사용비만 받고 이후로는 내것을 사용할수 있게 해줬어요.간단한 체육시설이 있어서 아이들하고 재밌게 놀았어요 배드민턴 농구 족구등이요.계곡물은 깨끝하고 수영장도 있어요,10.0,4개월 전
50111,파주삼형제아빠,친절한 사장님에게 감사합니다 경치가 아주좋네요 여름에 다시와야겠어요 펜션앞 냇가에서 놀기도 딱이네요,10.0,4개월 전
50111,곧철들것지,아이가 셋이라 별채에서 1박했는데 사장님 너무 친절하시고 다섯식구 넘 재미있게 놀다가요~ 바로 테라스에서 바베큐 먹을수 있어 편했고요~ 계곡물 진짜 깨끗하고ᆢ 다슬기도 많네요~ 수영장에서도 큰아이들이지만 잘 놀았네요~,9.3,5개월 전
50111,앙칼진유령,계곡도 바로 앞이고 수영장도 바로 앞이라서 너무 놀기 좋았어요 사장님 내외도 너무 친절하시고 너무 즐겁게 놀다왔어요 시설도 깔끔하게 유지되었어서 너무 좋았어요,10.0,6개월 전
50111,한라산국립공원따귀,애기랑 같이 가는데 깨끗하지 않다는 리뷰가있어서 좀 걱정했는데 전혀... 벌레얘기도 좀 있던데 산속에서 벌레가 없을리가.. 와이프가 좀 깔끔 떠는성격인데 또 오고싶다네요 ㅋ 호텔급 아닌 펜션중엔 베스트5안에 돈답니다.ㅋ 앞에 계곡은 최고입니다. 별생각없이 왔었는데 휴가때 또와야될듯 ㅋ,9.4,8개월 전
50112,,,10.0,
50115,셩2쵝오,나쁜 후기라 조금 죄송하지만 좋은 기분으로 여행갔다가 봉변당하듯이 돌아와서 후기남깁니다 일단..텐트 내부가 너무 춥습니다. 천장이랑 바닥 틈 사방에서 찬바람이 들어와서 바닥난방이 소용이 없어요.. 겨울에 십만원이상 내고 노숙하는 기분 느끼고 싶으신 분들은 가셔도 될 것 같아요~ 그리고 매너타임이 없습니다. 새벽3시까지 고성방가에 소리지르면서 족구하는 사람들이 있었는데 전혀 관리가 안됐어요 사장님 말로는 10분에 한번 제지하셨다고 하는데 뜬눈으로 밤새면서 사장님이 제지하는 소리 못들었습니다 결론적으로 스트레스와 코가 떨어질 것 같은 추위에 한숨도 못자고 새벽 3시에 퇴실했습니다~ 첫글램핑장이었는데 저는 이번에 나쁜 기억이 박혀서 다시는 글램핑장 안갈 것같아요.. 진짜 별 반개도 아까운 숙박지입니다 영업장 재정비가 시급해요~ 이런 서비스에 13만원이나 지불한 사실이 너무 화가나네요 만원도 아깝습니다 정말...노숙 기분 내고 싶으신 분만 예약하세요 :(,10.0,1개월 전
50115,춤추는곰돌,방음이 안되는데 옆사람들 새벽 4시까지 음악틀고 술먹고 진상부려도 통제안해주셔서 잠을 못잣습니다. 동일가격 펜션이 좋을꺼같아요,10.0,5개월 전
50115,큼직큼직한아자와크,청결 보통이고 진상 고객이 많아요 새벽까지 스피커로 노래 듣고 진짜 시끄러워도 통재 하지 않은 사장님도 너무 무관심,10.0,5개월 전
50115,미얀마쿠키,"1. 시설 : 약간 낡은 것들이 있습니다만. 숙박시 불편한 것은 없는듯 합니다. 가격 대비 좋습니다. 물놀이장이랑 트램플린이 있고 24시간 자율 매점, 일부 무료로 쓸수 있는 물건 등 좋습니다. 2. 청결도 : 막 엄청 깨끗하고 그렇지는 않지만 사용에는 전혀 문제 없습니다. 공용 화장실도 깨끗하고 글램핑 및 산속 숙박의 특상상 벌레는 있으나 생각보다 모기가 적고, 야외 바베큐에서도 벌레가 많지는 않네요. 모기향 정도면 해결될듯 3. 친절도 : 막 환대하고 그런 느낌보다 경상도 분들 특징으로 무뚝뚝한듯 하지만 다 해주시네요 다시 한번 더 갈 의향 있습니다. 애들도 좋았다네요",,6개월 전
50115,웅땅이,"특히 요즘 같은 성수기에는 체크인 하기 전에 냉장고 좀 미리 켜두면 좋을 것 같아요 입구에서 가장 가까운 방에서 머물렀는데 화장실은 멀지만 감수해도 좋을만큼 바로 옆에 작은 계곡이 있어서 잘 때, 일어날 때 들리는 물소리가 너무 듣기 좋았어요 주변 이용객들도 매너있게 아주 늦은 시간엔 조용했고 잘 때 너무 춥거나 너무 더울까 걱정했는데 바닥은 따뜻하고 에어컨은 빵빵해서 글램핑치고는 쾌적했어요",7.9,6개월 전
50119,아홉골농원,한옥에 푸근함을 느끼고 안락하니 좋네요~조금 일찍도착했는데 친절하게 입실도 시켜주시고 감사합니다.,1.0,1개월 전
50119,아홉골농원,"주인분 항상 친절하시고 반갑게 대해주시니 좋으네요~ 시설도 가격대비 좋구요~ 다만, 침대시트가 나일론 재질이라 잘때 땀이 나서 그부분은 개선하시면 좋겠네요~숙박업소는 잠자리가 제일 중요하다고 생각하는터라~^^;",5.0,1개월 전
50119,어디든떠나요우리두리,숙소 깔끔하고 난방도 빵빵하고 좋아요.,4.3,2개월 전
50119,아홉골농원,조용하니 한적하고 주변음식점이 있어서 편하네요,9.0,5개월 전
50119,BJ꾸꾸,일단 여자 주인분인지 인사도없고 너무 무기력하셔서 들어오는데 기분 별로였어요 입실하고 둘러보다 냉동고 안에 이상한 떡? 오래된거 들어있어서 말하니까 방바꿔주신댓는데 그냥 이용한다니까 청소는 잘되있다고 나가셨거든요...근데 식사할려고 방에있는 좌식 탁상 옮기니 찐득한게....마시지도않은 테라 뚜껑도 나뒹굴고 진짜 최악이였어요 화장실문도 잘 안열려요 여행와서 특별하다싶어 한옥호텔에왔건만 그냥 여관같은느끼뮤ㅠ 기분만 더 안좋아지고 이가격에 여기오는대신 그냥 모텔가서 잘것같아요...,8.9,5개월 전
50120,kyd3851,관리자님 친절하시고 뷰는정말좋습니다.카라반은 조금낙후된 느낌이고 우풍이심해서 춥네여 커플이 추억만들기에는 좋을듯합니다.아이들 동반하시면 11월부터는 동절기준비를 하고가셔야할듯합니다.,10.0,3개월 전
50120,안영권4,뷰 친절 다좋아요 진짜 다음에 또가고싶은곳이에요,10.0,4개월 전
50121,우리33우리33,"산중턱 펜션단지에 위치하고 있어서 펜션에 도착할때 쯤 보이는 펼쳐진 수평선이 인상깊게 남습니다. 안타깝게도 사진으로는 그 느낌이 남지 않네요~ 수영장은 생각보다 커서 가로2m,세로 7m, 수심1.2m정도, 특대형 홍학이 들어갈정도로 넉넉합니다. 중간에 다리가 있어서 홍학머리부분 바람을 좀 빼면 세로로 왕복도 가능합니다ㅎㅎ(수영을 하기에는 불편함이 없습니다) 다른분들 글처럼 화장실, 욕실에 환풍기를 틀면 냄새가 좀 나지만, 수영장 크기나 별도 미온수 비용이 없고, 실내 주방식탁에서 바베큐가 가능한점 등등, 친절한 사장님을 생각하면 만족도가 매우 높은 숙소였습니다~ 딸내미는 2박3일이여서 평점 99점이라고 하네요. 하루 더 있었으면 100점이라고 ㅎㅎㅎ",10.0,7일 전
50121,보라예진이,주차하는순간부터 너무 친절하셔서 기분좋았어요~~ 발수건도 넉넉히 따로주시고 애들챙겨주시고.. 추운날이었는데도 실내따뜻해서 좋았어요 먹고수영만하고 아침7시부터 수영만하고.. 정말 열심히 놀다왔네요,10.0,24일 전
50121,현실적인라면,다른 곳보다 수영장도 크고 방도 넓고 너무 좋았습니다! 그에 비해 비성수기라 가격도 저렴하고 만족합니다 시설도 깔끔한편이였고 있을 것도 다 있어서 대만족 다만 위치가 산중이라 차없이 가기 힘들고 드라이기가 너무 오래되서 약했습니다~ 그래두 그정도는 뭐 아주 양호한편이니 다음에는 다른방으러 제방문 의사 있습니당 너무 열심히 논다고 방 사진을 거의 못 찍었네용 그리고 다음에는 튜브 챙겨가려고요! ㅎㅎ,8.0,1개월 전
50121,울산주민이,앵간해서 이런곳에잘적지 않는데 돈쓰고 후회되네요 쉬고오는목적인데 밤에 잠을못잤습니다 방은 왜그렇게 더운건지 찜질방에서 자는줄알았습니다 애들계속뒤척이고 그리고 개인수영장 물빠지는소리?물나온소리 모타돌아가는소리등 때문에 날밤새고왔네요 수영장 방음좋지도않습니다 그래도그새벽에 사장님 전화드렸더니 어쩔수없는거라 좋게말씀해주시네요ㅋ 새벽 1시에 집에갈까말까 고민하다 날밤새고 집에왔습니다 . 애들까지 고생하고 뭔짓인지 큰돈쓰고 고생하다왔네요,6.0,24일 전
50121,에베베붜억,가성비 최고의 풀빌라였어요! 물온도도 따뜻하고ㅠㅠㅠ 방이 생각보다 너무 넓어서 다음엔 여럿이서 또 방문 할게요👍🏻,10.0,4개월 전
50124,내장산정원,사장님이 너무 친절하세요,8.1,2년 전
50125,마미다이어리,시설이 오래되고 청결하지는 않았어요,10.0,6개월 전
50125,팔봉산관광지베들링턴테리어,좋았습니다 아이들이 또오고싶어하네요,10.0,7개월 전
50125,온양온천지구기저귀,방음이 정말 안되는것 빼고는 공기도좋고 전기장판도 있고 잘 놀다가요,9.3,8개월 전
50125,미끈미끈한군단,친절하시구 너무좋았어요 ㅎㅎ!!!!,6.0,8개월 전
50125,뤼이비통,"사장님분 하고 젊은 남성분 사장님 하고 정말 친절 하시고, 11시 딱되서 나가라고 재촉도 없이 아이들이 뛰어 놀고 한없이 좋습니다 꼭 가세요 글램핑은 3-4번아 좋습니다^_^ 고기 구우실때는 탠트 안 양쪽 다 여시고 맞바람 으로 맟춰져야 고기냄새 주무실때 덜 납니다. 팁! 모두들 즐거운 글램핑 되세요!",10.0,8개월 전
50126,기관총탕야,남자친구랑 강릉여행을 계획하고 숙소를 알아보면서 까르디에 숙소를 보았습니다~ 숙소 찾을때 리뷰를 먼저 보는데 모든 리뷰가 다 긍정적으로 작성이되어있고 평이 너무 좋더라구요~ 그래서 한치고민도 없이 까르디에 숙소를 예약했습니다~ 숙소에 들어가서 시설을 보니 너무 깔끔하고 대리석으로 된 바닥도 따뜻하니 좋았습니다! 무엇보다 스파가 아주 싶고 넓어서 편하게 스파를 즐길 수 있었습니다^^ 다음에도 강릉여행을 가게되면 이 숙소에 머물고 싶어요~😊,10.0,11일 전
